RM#,Location,Lot #,Product Name,Nature of Product,# of boxes,Packages / Box,Units / Package,Units,Total (un),Label grams,Total (g),Total (KG),THC %,Réservé Retail | Réservé Wholesale
115,C2,250PR,Blue Chem,Prérouler 0.35,,,,3445,"3,445",0.35,"1,205.75",1.206,,
115,C2,250PR,Blue Chem,Defect|Prérouler 0.35,,,,205,205,0.35,71.75,0.072,,
115,C2,250PR,Blue Chem,Prérouler 0.35,21,48,3,,"3,024",0.35,"1,058.40",1.058,,
115,C2,250PR,Blue Chem,RND|Prérouler 0.35,,,,6,6,0.35,2.10,0.002,,
115,C2,265PR,Blue Chem,Prérouler 0.35,,,,26900,"26,900",0.35,"9,415.00",9.415,,
115,C2,374,Gas Paradise,RND|Popcorn/Shake,,,,79,79,1.00,78.60,0.079,26.20%,
115,C2,400,Gas Paradise,Pouches 15.0,1,12,1,,12,15.00,180.00,0.180,26.34%,
115,C2,400,Gas Paradise,RND|Popcorn/Shake,,,,11,11,1.00,11.39,0.011,26.34%,
115,C2,374,Gas Paradise,Popcorn,,,,322,322,1.00,321.50,0.322,26.20%,Wholesale
115,C2,374,Gas Paradise,Popcorn/Shake,,,,7611,"7,611",1.00,"7,611.00",7.611,26.20%,Wholesale
115,C2,400,Gas Paradise,Popcorn/Shake,,,,542,542,1.00,541.70,0.542,26.34%,Wholesale
115,C2,111596,Apple Fritter,Shake,,,,2000,"2,000",1.00,"2,000.10",2.000,,Wholesale
115,D1,317,Chemdawg,Large Flower,,,,4410,"4,410",1.00,"4,410.30",4.410,25.42%,Wholesale
115,D1,PNL-S03,Platinum Northen Lights,Large Flower,,,,324,324,1.00,323.70,0.324,,Wholesale
115,D1,244,Chemdawg,Popcorn,,,,140,140,1.00,140.00,0.140,25.83%,Wholesale
115,D1,317,Chemdawg,Popcorn,,,,955,955,1.00,954.70,0.955,25.42%,Wholesale
115,D1,87980,Apple Fritter,RND|Popcorn/Shake,,,,77,77,1.00,76.90,0.077,,
115,D1,AF0319,Apple Fritter,RND|Popcorn/Shake,,,,0,0,1.00,0.30,0.000,,
115,D1,AF0341,Apple Fritter,RND|Popcorn/Shake,,,,24,24,1.00,24.20,0.024,,
115,D1,AF2402,Apple Fritter,Bud Rot,,,,4109,"4,109",1.00,"4,108.70",4.109,,
115,D1,AF2402,Apple Fritter,RND|Popcorn/Shake,,,,12,12,1.00,11.80,0.012,,
115,D1,368,Blueberry Kush,RND|Large Flower,,,,52,52,1.00,51.60,0.052,22.15%,
115,D1,333,Gas Paradise,Popcorn,,,,2710,"2,710",1.00,"2,710.00",2.710,25.57%,Wholesale
115,D1,397,Gas Paradise,Popcorn,,,,1533,"1,533",1.00,"1,532.90",1.533,25.31%,Wholesale
115,D1,110,Mandarin,Popcorn,,,,731,731,1.00,731.10,0.731,,Wholesale
115,D1,115,Mandarin,Popcorn,,,,121,121,1.00,121.10,0.121,,Wholesale
115,D1,208,Mandarin,Popcorn,,,,1363,"1,363",1.00,"1,362.60",1.363,18.44%,Wholesale
115,D1,238,Mandarin,Popcorn,,,,943,943,1.00,942.80,0.943,27.27%,Wholesale
115,D1,208A,Mandarin,Popcorn,,,,434,434,1.00,434.20,0.434,,Wholesale
115,D1,231,Medellin,Popcorn,,,,399,399,1.00,399.00,0.399,28.90%,Wholesale
115,D1,207,Sage N Sour,Popcorn,,,,795,795,1.00,794.90,0.795,25.55%,Wholesale
115,D1,209,Sage N Sour,Popcorn,,,,1194,"1,194",1.00,"1,194.40",1.194,25.26%,Wholesale
115,D1,MAC109,Alien Cookies,Popcorn/Shake,,,,166,166,1.00,166.10,0.166,,Wholesale
115,D1,87980,Apple Fritter,Popcorn/Shake,,,,2401,"2,401",1.00,"2,400.80",2.401,,Wholesale
115,D1,331B,Neville Haze,RND|Popcorn/Shake,,,,45,45,1.00,44.60,0.045,,
115,D1,AF0319,Apple Fritter,Popcorn/Shake,,,,1643,"1,643",1.00,"1,642.70",1.643,,Wholesale
115,D1,AF0341,Apple Fritter,Popcorn/Shake,,,,2639,"2,639",1.00,"2,638.90",2.639,,Wholesale
115,D1,PNL-S03,Platinum Northen Lights,RND|Popcorn/Shake,,,,24,24,1.00,23.70,0.024,,
115,D1,AF2402,Apple Fritter,Popcorn/Shake,,,,518,518,1.00,518.40,0.518,,Wholesale
115,D1,269,Blue Chem,Popcorn/Shake,,,,6299,"6,299",1.00,"6,298.70",6.299,27.25%,Wholesale
115,D1,249,Sage N Sour,RND,,,,78,78,1.00,78.00,0.078,30.95%,
115,D1,384,Sage N Sour,RND,,,,129,129,1.00,128.66,0.129,28.75%,
115,D1,387,Sage N Sour,RND,,,,189,189,1.00,189.00,0.189,26.97%,
