RM#,Location,Lot #,Product Name,Nature of Product,# of boxes,Packages / Box,Units / Package,Units,Total (un),Label grams,Total (g),Total (KG)
115,E1,208210H,Cherry Noir/Mandarin,RND|Hash,,,,4,4,1,3.9,0.004
115,E1,213201H,Cherry Noir/Mandarin,Hash 2.0,1,2,1,,2,2,4,0.004
115,E1,213201H,Cherry Noir/Mandarin,RND|Hash,,,,89,89,1,88.5,0.089
115,E1,213210H,Cherry Noir/Mandarin,RND|Hash,,,,30,30,1,29.76,0.03
115,E1,213229H,Cherry Noir/Mandarin,Hash 2.0,1,1,1,,1,2,2,0.002
115,E1,213229H,Cherry Noir/Mandarin,RND|Hash,,,,20,20,1,20,0.02
115,E1,233229H,Cherry Noir/Mandarin,RND|Hash,,,,4,4,1,4,0.004
115,E1,233229H2,Cherry Noir/Mandarin,RND|Hash,,,,12,12,1,11.9,0.012
115,E1,238260H,Cherry Noir/Mandarin,RND|Hash,,,,20,20,1,20,0.02
115,E1,EXLOS2ZCA4GYRN,Cherry Noir/Mandarin,RND|Hash 2.0,1,403,1,,403,2,806,0.806
115,E1,EXLOS2ZCA4GYRN,Cherry Noir/Mandarin,RND|Hash,,,,167,167,1,167,0.167
115,E1,EXLQBXZTWNO5JR,Cherry Noir/Mandarin,RND|Hash 2.0,1,400,1,,400,2,800,0.8
115,E1,EXLQBXZTWNO5JR,Cherry Noir/Mandarin,RND|Hash,,,,176,176,1,176,0.176
115,E1,364H,Medellin,RND|Hash,,,,90,90,1,90,0.09
115,E1,364H,Medellin,Hash 3.0,1,1,1,,1,3,3,0.003
115,E1,INCONNU,RND,Finger Hash,,,,1538,"1,538",1,"1,538.00",1.538
115,E1,208A,Mandarin,Jars 3.5,1,61,1,,61,3.5,213.5,0.214
115,E1,208B,Mandarin,Jars 3.5,1,31,1,,31,3.5,108.5,0.109
115,E1,208B,Mandarin,Jars 3.5,1,21,1,,21,3.5,73.5,0.074
115,E1,141171H,Sage N Sour,RND|Hash,,,,25,25,1,25,0.025
115,E1,141171H,Sage N Sour,Hash 3.0,1,5,1,,5,3,15,0.015
115,E1,143160H,Sage N Sour,Hash 3.0,1,1,1,,1,3,3,0.003
115,E1,143160H,Sage N Sour,RND|Hash,,,,94,94,1,93.9,0.094
115,E1,143H,Sage N Sour,Hash 3.0,1,22,1,,22,3,66,0.066
115,E1,143H,Sage N Sour,RND|Hash,,,,9,9,1,8.9,0.009
115,E1,154H,Sage N Sour,Hash 3.0,1,12,1,,12,3,36,0.036
115,E1,154H,Sage N Sour,RND|Hash,,,,18,18,1,17.9,0.018
